model,train_dataset,test_dataset,condition,split_policy,train_rows,test_rows,train_task_category,train_label_meaning,train_dataset_situation,deduplicated_text,accuracy,precision_positive,recall_positive,f1_positive,precision_macro,recall_macro,f1_macro,tn,fp,fn,tp
tfidf_logistic_regression,kaggle_hinglish_hate,kaggle_hinglish_hate,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,3824,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,True,0.6297071129707112,0.5241730279898219,0.5522788203753352,0.5378590078328982,0.6137739029824776,0.6157620516971015,0.6144792421363443,396,187,167,206
tfidf_logistic_regression,kaggle_hinglish_hate,cm_splits_codemixed,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,3824,415,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,True,0.36626506024096384,0.3198757763975155,0.7006802721088435,0.43923240938166314,0.4233787484138115,0.441758046502183,0.35535027671299224,49,219,44,103
tfidf_logistic_regression,kaggle_hinglish_hate,thar_religion,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,3824,2310,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,True,0.5025974025974026,0.4794034090909091,0.618698441796517,0.5402160864345739,0.5091030349223947,0.5086929452624915,0.49924524265151604,486,733,416,675
tfidf_logistic_regression,kaggle_hinglish_hate,existing_79_row_benchmark,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,3824,79,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,True,0.5443037974683544,0.5454545454545454,0.46153846153846156,0.5,0.5444664031620553,0.5432692307692308,0.5406976744186047,25,15,21,18
tfidf_linear_svm,kaggle_hinglish_hate,kaggle_hinglish_hate,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,3824,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,True,0.6286610878661087,0.5241935483870968,0.5227882037533512,0.5234899328859061,0.6096995139195758,0.6095930727171559,0.6096455662715734,406,177,178,195
tfidf_linear_svm,kaggle_hinglish_hate,cm_splits_codemixed,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,3824,415,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,True,0.39518072289156625,0.32068965517241377,0.6326530612244898,0.425629290617849,0.44434482758620686,0.4487892171794091,0.39347622291706696,71,197,54,93
tfidf_linear_svm,kaggle_hinglish_hate,thar_religion,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,3824,2310,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,True,0.49393939393939396,0.4731774415405777,0.6306141154903758,0.5406679764243615,0.5011915245086066,0.5011150971217261,0.4886472412242289,453,766,403,688
tfidf_linear_svm,kaggle_hinglish_hate,existing_79_row_benchmark,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,3824,79,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,True,0.4177215189873418,0.425531914893617,0.5128205128205128,0.46511627906976744,0.4158909574468085,0.41891025641025637,0.41311369509043927,13,27,19,20
tfidf_logistic_regression,cm_splits_codemixed,kaggle_hinglish_hate,tfidf_cross_dataset_baseline,provided_train_val_vs_test_split,3403,956,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,True,0.42887029288702927,0.3695324283559578,0.6568364611260054,0.47297297297297297,0.4663361800482861,0.4699276645252668,0.42484265087004813,165,418,128,245
tfidf_logistic_regression,cm_splits_codemixed,cm_splits_codemixed,tfidf_cross_dataset_baseline,provided_train_val_vs_test_split,3403,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,True,0.7903614457831325,0.6851851851851852,0.7551020408163265,0.7184466019417476,0.7714463475333041,0.7824017666768199,0.7757300188211618,217,51,36,111
tfidf_logistic_regression,cm_splits_codemixed,thar_religion,tfidf_cross_dataset_baseline,provided_train_val_vs_test_split,3403,2310,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,True,0.5346320346320347,0.5050697084917617,0.7305224564619615,0.597227426002248,0.5517151821147332,0.544916683522203,0.5231139692799553,438,781,294,797
tfidf_logistic_regression,cm_splits_codemixed,existing_79_row_benchmark,tfidf_cross_dataset_baseline,provided_train_val_vs_test_split,3403,79,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,True,0.6582278481012658,0.6304347826086957,0.7435897435897436,0.6823529411764706,0.6637022397891963,0.6592948717948718,0.6562449637389203,23,17,10,29
tfidf_linear_svm,cm_splits_codemixed,kaggle_hinglish_hate,tfidf_cross_dataset_baseline,provided_train_val_vs_test_split,3403,956,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,True,0.497907949790795,0.37757437070938216,0.44235924932975873,0.4074074074074074,0.48840182889997047,0.48790346686041963,0.4859178597835585,311,272,208,165
tfidf_linear_svm,cm_splits_codemixed,cm_splits_codemixed,tfidf_cross_dataset_baseline,provided_train_val_vs_test_split,3403,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,True,0.7734939759036145,0.6687898089171974,0.7142857142857143,0.6907894736842105,0.7529995556213894,0.7601279317697228,0.7560411246748049,216,52,42,105
tfidf_linear_svm,cm_splits_codemixed,thar_religion,tfidf_cross_dataset_baseline,provided_train_val_vs_test_split,3403,2310,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,True,0.5380952380952381,0.5098846787479407,0.5673693858845096,0.5370932754880694,0.5396138722206857,0.5396321908913935,0.5380930740291319,624,595,472,619
tfidf_linear_svm,cm_splits_codemixed,existing_79_row_benchmark,tfidf_cross_dataset_baseline,provided_train_val_vs_test_split,3403,79,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,True,0.5822784810126582,0.6071428571428571,0.4358974358974359,0.5074626865671642,0.5878851540616246,0.5804487179487179,0.5724126619649008,29,11,22,17
tfidf_logistic_regression,thar_religion,kaggle_hinglish_hate,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,9239,956,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,True,0.5763598326359832,0.43103448275862066,0.2680965147453083,0.3305785123966942,0.5269813297771004,0.5208407102028428,0.5103542906283395,451,132,273,100
tfidf_logistic_regression,thar_religion,cm_splits_codemixed,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,9239,415,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,True,0.6843373493975904,0.5930232558139535,0.3469387755102041,0.43776824034334766,0.6506149713720224,0.6081708802924155,0.6091688772906018,233,35,96,51
tfidf_logistic_regression,thar_religion,thar_religion,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,9239,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,True,0.706060606060606,0.6839285714285714,0.7021081576535289,0.6928991406603346,0.7054096638655463,0.7058530944133108,0.7055197239208688,865,354,325,766
tfidf_logistic_regression,thar_religion,existing_79_row_benchmark,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,9239,79,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,True,0.5063291139240507,0.5,0.05128205128205128,0.09302325581395349,0.5033333333333334,0.5006410256410256,0.37694641051567235,38,2,37,2
tfidf_linear_svm,thar_religion,kaggle_hinglish_hate,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,9239,956,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,True,0.5648535564853556,0.416988416988417,0.289544235924933,0.34177215189873417,0.5183937780781396,0.5152695450636672,0.5083860759493671,432,151,265,108
tfidf_linear_svm,thar_religion,cm_splits_codemixed,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,9239,415,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,True,0.6698795180722892,0.5555555555555556,0.3401360544217687,0.4219409282700422,0.6285470085470086,0.5954411615392425,0.5954561302395742,228,40,97,50
tfidf_linear_svm,thar_religion,thar_religion,tfidf_cross_dataset_baseline,stratified_80_20_split_seed42,9239,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,True,0.6852813852813853,0.6678966789667896,0.6636113657195234,0.6657471264367816,0.6842746037574567,0.6841436648121817,0.684202806572174,859,360,367,724
