model,train_dataset,test_dataset,error_type,rank,token,count
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,1,can,7
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,2,में,7
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,3,like,6
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,4,talaq,6
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,5,man,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,6,uapa,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,7,gandhi,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,8,what,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,9,nehru,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,10,सुप्रीम,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,11,bill,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,12,right,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,13,ipl,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,14,back,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,15,india,3
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,16,about,3
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,17,which,3
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,18,maritalrape,3
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,19,every,3
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,20,hijab,3
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,1,nahi,8
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,2,bhi,8
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,3,india,6
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,4,patel,6
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,5,मुसलमानों,6
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,6,too,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,7,gandhi,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,8,diya,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,9,women,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,10,sardar,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,11,congress,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,12,लिए,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,13,demonetisation,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,14,bhagat,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,15,singh,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,16,किसी,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,17,nhi,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,18,time,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,19,modi,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,20,sab,4
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,1,hate,67
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,2,rape,54
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,3,bhi,31
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,4,nahi,15
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,5,karte,12
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,6,nafrat,12
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,7,nhi,10
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,8,main,10
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,9,kisi,10
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,10,baat,9
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,11,kiya,9
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,12,log,8
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,13,desh,8
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,14,tum,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,15,jab,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,16,aap,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,17,diya,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,18,raha,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,19,toh,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,20,hoga,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,1,rape,123
