model,checkpoint_path,train_dataset,test_dataset,condition,split_policy,test_rows,test_task_category,test_label_meaning,test_dataset_situation,cleaning,deduplicated_text,avg_latency_ms,accuracy,precision_positive,recall_positive,f1_positive,precision_macro,recall_macro,f1_macro,tn,fp,fn,tp
mbert,Models/mbert__train-kaggle_hinglish_hate__seed42__e2,kaggle_hinglish_hate,kaggle_hinglish_hate,reload_check_2026_06_29,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,4.7515228817992545,0.7144351464435147,0.7659574468085106,0.38605898123324395,0.5133689839572193,0.7338901817375887,0.6552936415600182,0.6556482225485578,539,44,229,144
mbert,Models/mbert__train-kaggle_hinglish_hate__seed42__e2,kaggle_hinglish_hate,cm_splits_codemixed,reload_check_2026_06_29,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,2.754896585543339,0.6313253012048192,0.453125,0.19727891156462585,0.27488151658767773,0.5584713319088319,0.5333409483196263,0.5138543285684753,233,35,118,29
mbert,Models/mbert__train-kaggle_hinglish_hate__seed42__e2,kaggle_hinglish_hate,thar_religion,reload_check_2026_06_29,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.4644017675322356,0.5255411255411255,0.4928774928774929,0.15857011915673694,0.23994452149791956,0.5121355305122534,0.5062743950992873,0.44753676672756265,1041,178,918,173
mbert,Models/mbert__train-kaggle_hinglish_hate__seed42__e2,kaggle_hinglish_hate,existing_79_row_benchmark,reload_check_2026_06_29,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,7.1299852278444416,0.5189873417721519,0.6,0.07692307692307693,0.13636363636363635,0.5567567567567567,0.5134615384615384,0.4015151515151515,38,2,36,3
muril,Models/muril__train-kaggle_hinglish_hate__seed42__e2,kaggle_hinglish_hate,kaggle_hinglish_hate,reload_check_2026_06_29,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,1.7193160303347088,0.6746861924686193,0.7980769230769231,0.2225201072386059,0.3480083857442348,0.7288506681112314,0.5932497620241057,0.5656418235341383,562,21,290,83
muril,Models/muril__train-kaggle_hinglish_hate__seed42__e2,kaggle_hinglish_hate,cm_splits_codemixed,reload_check_2026_06_29,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,2.032914959035915,0.6578313253012048,0.5675675675675675,0.14285714285714285,0.22826086956521738,0.617117117117117,0.5415778251599147,0.5042233140395747,252,16,126,21
muril,Models/muril__train-kaggle_hinglish_hate__seed42__e2,kaggle_hinglish_hate,thar_religion,reload_check_2026_06_29,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.1164476372296,0.5307359307359307,0.5202312138728323,0.08249312557286893,0.14240506329113925,0.5259087749289291,0.5072022641810202,0.4097007438028998,1136,83,1001,90
muril,Models/muril__train-kaggle_hinglish_hate__seed42__e2,kaggle_hinglish_hate,existing_79_row_benchmark,reload_check_2026_06_29,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,6.684843886075755,0.6455696202531646,0.8235294117647058,0.358974358974359,0.5,0.7101518026565465,0.6419871794871795,0.6127450980392157,37,3,25,14
mbert,Models/mbert__train-cm_splits_codemixed__seed42__e2,cm_splits_codemixed,kaggle_hinglish_hate,reload_check_2026_06_29,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,1.7462212771967631,0.5251046025104602,0.41098901098901097,0.5013404825737265,0.45169082125603865,0.5198657629795354,0.5208246152148222,0.5164358165320784,315,268,186,187
mbert,Models/mbert__train-cm_splits_codemixed__seed42__e2,cm_splits_codemixed,cm_splits_codemixed,reload_check_2026_06_29,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,2.0993088361444596,0.8048192771084337,0.7426470588235294,0.6870748299319728,0.7137809187279152,0.7888862534261016,0.7782389075032998,0.7828502399855297,233,35,46,101
