feature,value,rows,positive_rows,mbert_error_rate,muril_error_rate,mbert_false_negative_rate,muril_false_negative_rate
has_abuse_terms,0,8643,3837,0.3722087238227467,0.3572833506884184,0.5543393275996873,0.5274954391451655
has_abuse_terms,1,2400,996,0.3958333333333333,0.41583333333333333,0.6034136546184738,0.6606425702811245
has_hashtag,0,10563,4689,0.3800056802044874,0.37309476474486414,0.5617402431222009,0.5515035188739603
has_hashtag,1,480,144,0.31875,0.3020833333333333,0.6527777777777778,0.6666666666666666
has_mention,0,11043,4833,0.3773431132844336,0.3700081499592502,0.5644527208773019,0.5549348230912476
has_political_terms,0,9804,4233,0.37311301509587924,0.364953080375357,0.5759508622726199,0.5610678006142216
has_political_terms,1,1239,600,0.41081517352703795,0.4100080710250202,0.48333333333333334,0.5116666666666667
has_religion_terms,0,7731,2718,0.34225844004656575,0.34005950071142155,0.6629874908020603,0.6552612214863871
has_religion_terms,1,3312,2115,0.4592391304347826,0.4399154589371981,0.43782505910165487,0.4260047281323877
has_url,0,10851,4764,0.37554142475347896,0.3685374619850705,0.5629722921914357,0.552896725440806
has_url,1,192,69,0.4791666666666667,0.453125,0.6666666666666666,0.6956521739130435
script_bucket,latin_only,9303,4032,0.3747178329571106,0.3704181446845104,0.5456349206349206,0.5476190476190477
script_bucket,devanagari_only,1287,600,0.40093240093240096,0.37606837606837606,0.68,0.6016666666666667
script_bucket,mixed_latin_devanagari,453,201,0.36423841059602646,0.3443708609271523,0.5970149253731343,0.5621890547263682
